Codigo_Chat,Nota,Confianza,Mensaje
1234,3,0.2817160785198211,hola anda
8479269713,3,0.2550421059131622,hola
8479269713,4,0.3183252513408661,/readme
8479269713,3,0.2550421059131622,hola
8479269713,5,0.355653166770935,como estas?
8479269713,4,0.2701708376407623,dame informacion sobre bancos
8479269713,3,0.25504210591316223,hola
8479269713,4,0.3183252513408661,/readme
8479269713,3,0.25504210591316223,hola
8479269713,5,0.35565316677093506,como estas?
8479269713,4,0.27017083764076233,dame informacion sobre bancos
8479269713,1,0.278754860162735,quiero informacion bancos
